Linux 7.0.0-30-generic (workstation) 	09/07/26 	_x86_64_	(32 CPU)

11:55:13     MBfsfree  MBfsused   %fsused  %ufsused     Ifree     Iused    %Iused FILESYSTEM
11:55:15            0        13    100.00    100.00         0     32737    100.00 /dev/loop29
11:55:15            0        43    100.00    100.00         0      2084    100.00 /dev/loop30
11:55:15            0       395    100.00    100.00         0       796    100.00 /dev/loop32
11:55:15            0       402    100.00    100.00         0       872    100.00 /dev/loop31
11:55:15            0        19    100.00    100.00         0        65    100.00 /dev/loop33
11:55:15            0        12    100.00    100.00         0        12    100.00 /dev/loop36
11:55:15            0        14    100.00    100.00         0        15    100.00 /dev/loop35
11:55:15            0        19    100.00    100.00         0        65    100.00 /dev/loop34
11:55:15            0        16    100.00    100.00         0        74    100.00 /dev/loop37
11:55:15            0        50    100.00    100.00         0       610    100.00 /dev/loop40
11:55:15            0        12    100.00    100.00         0        75    100.00 /dev/loop38
11:55:15            0         1    100.00    100.00         0        65    100.00 /dev/loop41
11:55:15            0         1    100.00    100.00         0        66    100.00 /dev/loop42
11:55:15            0       144    100.00    100.00         0       137    100.00 /dev/loop44
11:55:15            0       176    100.00    100.00         0       136    100.00 /dev/loop43
11:55:15            0       221    100.00    100.00         0       907    100.00 /dev/loop49
11:55:15            0       343    100.00    100.00         0     15306    100.00 /dev/loop52
11:55:15            0         8    100.00    100.00         0         9    100.00 /dev/loop51
11:55:15            0       484    100.00    100.00         0      3324    100.00 /dev/loop54
11:55:15            0         8    100.00    100.00         0         9    100.00 /dev/loop53
11:55:15            0       423    100.00    100.00         0      1225    100.00 /dev/loop55
11:55:15         1067         6      0.59      0.59         0         0      0.00 /dev/nvme1n1p1
11:55:15            0       100    100.00    100.00         0       145    100.00 /dev/loop45
11:55:15            0       100    100.00    100.00         0       145    100.00 /dev/loop1
11:55:15            0        38    100.00    100.00         0        10    100.00 /dev/loop56
11:55:15            0       261    100.00    100.00         0       641    100.00 /dev/loop47
11:55:15            0       214    100.00    100.00         0       616    100.00 /dev/loop15
11:55:15            0       222    100.00    100.00         0       906    100.00 /dev/loop2
11:55:15            0        38    100.00    100.00         0        10    100.00 /dev/loop50
11:55:15            0       214    100.00    100.00         0       616    100.00 /dev/loop48
11:55:15            0        50    100.00    100.00         0       610    100.00 /dev/loop46

Summary:     MBfsfree  MBfsused   %fsused  %ufsused     Ifree     Iused    %Iused FILESYSTEM
Summary:       241156   1634470     87.14     92.23 114670080   7357952      6.03 /dev/nvme1n1p2
Summary:            0         0    100.00    100.00         0        29    100.00 /dev/loop0
Summary:       916320   1005432     52.32     57.40 124946259     80045      0.06 /dev/nvme0n1p1
Summary:            0        64    100.00    100.00         0     11910    100.00 /dev/loop3
Summary:            0        56    100.00    100.00         0     10812    100.00 /dev/loop5
Summary:            0        64    100.00    100.00         0     11908    100.00 /dev/loop4
Summary:            0        56    100.00    100.00         0     10812    100.00 /dev/loop6
Summary:            0        74    100.00    100.00         0     14270    100.00 /dev/loop7
Summary:            0        67    100.00    100.00         0     10549    100.00 /dev/loop8
Summary:            0        74    100.00    100.00         0     14270    100.00 /dev/loop9
Summary:            0        67    100.00    100.00         0     10545    100.00 /dev/loop10
Summary:            0        20    100.00    100.00         0        67    100.00 /dev/loop11
Summary:            0        20    100.00    100.00         0        67    100.00 /dev/loop12
Summary:            0       139    100.00    100.00         0        92    100.00 /dev/loop13
Summary:            0       139    100.00    100.00         0        92    100.00 /dev/loop14
Summary:            0       258    100.00    100.00         0       641    100.00 /dev/loop16
Summary:            0        16    100.00    100.00         0        69    100.00 /dev/loop18
Summary:            0        16    100.00    100.00         0        69    100.00 /dev/loop17
Summary:            0       136    100.00    100.00         0     16385    100.00 /dev/loop19
Summary:            0       136    100.00    100.00         0     16385    100.00 /dev/loop20
